region	count	region_length	name
chr6:30187715-30188717	2	1002	chr6-30187715-30188717
chr6:30192630-30193693	7	1063	chr6-30192630-30193693
chr6:30208015-30209404	2	1389	chr6-30208015-30209404
chr6:30240057-30241057	1	1000	chr6-30240057-30241057
chr6:30271914-30272914	1	1000	chr6-30271914-30272914
chr6:30278539-30279918	2	1379	chr6-30278539-30279918
chr6:30286174-30287174	1	1000	chr6-30286174-30287174
chr6:30297267-30298267	1	1000	chr6-30297267-30298267
chr6:30310173-30311547	2	1374	chr6-30310173-30311547
chr6:30322555-30323555	1	1000	chr6-30322555-30323555
chr6:30360626-30361626	1	1000	chr6-30360626-30361626
chr6:30370654-30371654	1	1000	chr6-30370654-30371654
chr6:30377544-30378544	1	1000	chr6-30377544-30378544
chr6:30380104-30381152	11	1048	chr6-30380104-30381152
chr6:30439463-30440469	3	1006	chr6-30439463-30440469
chr6:30444296-30445883	2	1587	chr6-30444296-30445883
chr6:30458818-30459833	2	1015	chr6-30458818-30459833
chr6:30466510-30467510	1	1000	chr6-30466510-30467510
chr6:30467838-30469073	7	1235	chr6-30467838-30469073
chr6:30486830-30487830	1	1000	chr6-30486830-30487830
chr6:30498932-30499932	1	1000	chr6-30498932-30499932
chr6:30504966-30505966	1	1000	chr6-30504966-30505966
chr6:30515233-30516233	1	1000	chr6-30515233-30516233
chr6:30528265-30529265	1	1000	chr6-30528265-30529265
chr6:30535943-30536943	1	1000	chr6-30535943-30536943
chr6:30564791-30565791	1	1000	chr6-30564791-30565791
chr6:30575776-30576776	1	1000	chr6-30575776-30576776
chr6:30593027-30594043	2	1016	chr6-30593027-30594043
chr6:30597509-30598509	1	1000	chr6-30597509-30598509
chr6:30598875-30599875	1	1000	chr6-30598875-30599875
chr6:30651739-30652739	1	1000	chr6-30651739-30652739
chr6:30669244-30670244	1	1000	chr6-30669244-30670244
chr6:30701756-30702756	1	1000	chr6-30701756-30702756
chr6:30718588-30719588	1	1000	chr6-30718588-30719588
chr6:30733546-30734546	1	1000	chr6-30733546-30734546
chr6:30736700-30737742	6	1042	chr6-30736700-30737742
chr6:30740334-30741334	1	1000	chr6-30740334-30741334
chr6:30746041-30747041	1	1000	chr6-30746041-30747041
chr6:30771204-30772204	1	1000	chr6-30771204-30772204
chr6:30784362-30786836	3	2474	chr6-30784362-30786836
chr6:30796187-30798175	2	1988	chr6-30796187-30798175
chr6:30802162-30803189	2	1027	chr6-30802162-30803189
chr6:30805974-30806974	1	1000	chr6-30805974-30806974
chr6:30812912-30813912	1	1000	chr6-30812912-30813912
chr6:30823894-30824894	1	1000	chr6-30823894-30824894
chr6:30833749-30834749	1	1000	chr6-30833749-30834749
chr6:30838093-30839093	1	1000	chr6-30838093-30839093
chr6:30844483-30845483	1	1000	chr6-30844483-30845483
chr6:30846935-30847936	2	1001	chr6-30846935-30847936
chr6:30852315-30853319	2	1004	chr6-30852315-30853319
chr6:30858389-30859389	1	1000	chr6-30858389-30859389
chr6:30866471-30867475	2	1004	chr6-30866471-30867475
chr6:30870682-30871682	1	1000	chr6-30870682-30871682
chr6:30872026-30873026	1	1000	chr6-30872026-30873026
chr6:30891027-30892027	1	1000	chr6-30891027-30892027
chr6:30902982-30904619	2	1637	chr6-30902982-30904619
chr6:30904850-30905855	2	1005	chr6-30904850-30905855
chr6:30915953-30916976	2	1023	chr6-30915953-30916976
chr6:30927531-30928531	1	1000	chr6-30927531-30928531
chr6:30929107-30930107	1	1000	chr6-30929107-30930107
chr6:30938956-30939956	1	1000	chr6-30938956-30939956
chr6:30940954-30941957	2	1003	chr6-30940954-30941957
chr6:30967285-30968285	1	1000	chr6-30967285-30968285
chr6:30990926-30991926	1	1000	chr6-30990926-30991926
chr6:30992028-30993028	1	1000	chr6-30992028-30993028
chr6:30997510-30998536	7	1026	chr6-30997510-30998536
chr6:31019941-31020941	1	1000	chr6-31019941-31020941
chr6:31042023-31043023	1	1000	chr6-31042023-31043023
chr6:31048425-31049425	1	1000	chr6-31048425-31049425
chr6:31052339-31053400	7	1061	chr6-31052339-31053400
chr6:31054784-31055814	2	1030	chr6-31054784-31055814
chr6:31067614-31068780	2	1166	chr6-31067614-31068780
chr6:31077112-31078112	1	1000	chr6-31077112-31078112
chr6:31079932-31081771	3	1839	chr6-31079932-31081771
chr6:31087469-31088493	2	1024	chr6-31087469-31088493
chr6:31088799-31089799	1	1000	chr6-31088799-31089799
chr6:31093351-31094351	1	1000	chr6-31093351-31094351
chr6:31101339-31102339	1	1000	chr6-31101339-31102339
chr6:31106186-31107186	1	1000	chr6-31106186-31107186
chr6:31118337-31119337	1	1000	chr6-31118337-31119337
chr6:31127061-31128061	1	1000	chr6-31127061-31128061
chr6:31131097-31132097	1	1000	chr6-31131097-31132097
chr6:31140129-31142003	2	1874	chr6-31140129-31142003
chr6:31146899-31147899	1	1000	chr6-31146899-31147899
chr6:31148651-31149651	1	1000	chr6-31148651-31149651
chr6:31179357-31180357	1	1000	chr6-31179357-31180357
chr6:31181344-31182344	1	1000	chr6-31181344-31182344
chr6:31186685-31187686	2	1001	chr6-31186685-31187686
chr6:31192315-31193315	1	1000	chr6-31192315-31193315
chr6:31203890-31204890	1	1000	chr6-31203890-31204890
chr6:31206600-31208373	2	1773	chr6-31206600-31208373
chr6:31209517-31210517	1	1000	chr6-31209517-31210517
chr6:31213142-31214142	1	1000	chr6-31213142-31214142
chr6:31216632-31217632	1	1000	chr6-31216632-31217632
chr6:31221226-31222226	1	1000	chr6-31221226-31222226
chr6:31229542-31230542	1	1000	chr6-31229542-31230542
chr6:31235905-31236905	1	1000	chr6-31235905-31236905
chr6:31239370-31240370	1	1000	chr6-31239370-31240370
chr6:31240814-31241814	1	1000	chr6-31240814-31241814
chr6:31249500-31250500	1	1000	chr6-31249500-31250500
chr6:31254048-31255048	1	1000	chr6-31254048-31255048
chr6:31273591-31274593	2	1002	chr6-31273591-31274593
chr6:31290876-31291911	2	1035	chr6-31290876-31291911
chr6:31295782-31296782	1	1000	chr6-31295782-31296782
chr6:31306751-31307751	1	1000	chr6-31306751-31307751
chr6:31310450-31311481	7	1031	chr6-31310450-31311481
chr6:31320685-31321685	1	1000	chr6-31320685-31321685
chr6:31341093-31342093	1	1000	chr6-31341093-31342093
chr6:31353927-31354927	1	1000	chr6-31353927-31354927
chr6:31356212-31357212	1	1000	chr6-31356212-31357212
chr6:31358599-31359609	5	1010	chr6-31358599-31359609
chr6:31362930-31363930	1	1000	chr6-31362930-31363930
chr6:31379147-31380147	1	1000	chr6-31379147-31380147
chr6:31381124-31382155	4	1031	chr6-31381124-31382155
chr6:31389382-31390410	4	1028	chr6-31389382-31390410
chr6:31391513-31392513	1	1000	chr6-31391513-31392513
chr6:31393003-31394004	2	1001	chr6-31393003-31394004
chr6:31394948-31395987	2	1039	chr6-31394948-31395987
chr6:31399038-31400038	1	1000	chr6-31399038-31400038
chr6:31408809-31409809	1	1000	chr6-31408809-31409809
chr6:31427189-31430324	93	3135	chr6-31427189-31430324
chr6:31435431-31436431	1	1000	chr6-31435431-31436431
chr6:31441840-31442928	2	1088	chr6-31441840-31442928
chr6:31454281-31455281	1	1000	chr6-31454281-31455281
chr6:31460069-31461069	1	1000	chr6-31460069-31461069
chr6:31482567-31483567	1	1000	chr6-31482567-31483567
chr6:31486361-31487361	1	1000	chr6-31486361-31487361
chr6:31489632-31490632	1	1000	chr6-31489632-31490632
chr6:31491162-31492167	3	1005	chr6-31491162-31492167
chr6:31495866-31496866	1	1000	chr6-31495866-31496866
chr6:31497946-31498946	1	1000	chr6-31497946-31498946
chr6:31503449-31504754	2	1305	chr6-31503449-31504754
chr6:31524796-31525796	1	1000	chr6-31524796-31525796
chr6:31555399-31556399	1	1000	chr6-31555399-31556399
chr6:31567145-31568167	3	1022	chr6-31567145-31568167
chr6:31583035-31584035	1	1000	chr6-31583035-31584035
chr6:31587874-31588899	2	1025	chr6-31587874-31588899
chr6:31592826-31593826	1	1000	chr6-31592826-31593826
chr6:31606029-31607029	1	1000	chr6-31606029-31607029
chr6:31609157-31610157	1	1000	chr6-31609157-31610157
chr6:31617599-31618599	1	1000	chr6-31617599-31618599
chr6:31618868-31619868	1	1000	chr6-31618868-31619868
chr6:31622759-31623759	1	1000	chr6-31622759-31623759
chr6:31643221-31644221	1	1000	chr6-31643221-31644221
chr6:31646266-31647266	1	1000	chr6-31646266-31647266
chr6:31651820-31652857	3	1037	chr6-31651820-31652857
chr6:31682281-31683281	1	1000	chr6-31682281-31683281
chr6:31704225-31705225	1	1000	chr6-31704225-31705225
chr6:31711340-31712340	1	1000	chr6-31711340-31712340
chr6:31715450-31716450	1	1000	chr6-31715450-31716450
chr6:31735307-31736307	1	1000	chr6-31735307-31736307
chr6:31738555-31739611	5	1056	chr6-31738555-31739611
chr6:31740836-31741836	1	1000	chr6-31740836-31741836
chr6:31745580-31746580	1	1000	chr6-31745580-31746580
chr6:31767639-31768639	1	1000	chr6-31767639-31768639
chr6:31771490-31773084	2	1594	chr6-31771490-31773084
chr6:31790102-31791102	1	1000	chr6-31790102-31791102
chr6:31804263-31805263	1	1000	chr6-31804263-31805263
chr6:31809056-31810056	1	1000	chr6-31809056-31810056
chr6:31829642-31830646	2	1004	chr6-31829642-31830646
chr6:31832258-31834053	2	1795	chr6-31832258-31834053
chr6:31852764-31853764	1	1000	chr6-31852764-31853764
chr6:31907341-31908341	1	1000	chr6-31907341-31908341
chr6:31976838-31977838	1	1000	chr6-31976838-31977838
chr6:32066632-32067632	1	1000	chr6-32066632-32067632
chr6:32077573-32078573	1	1000	chr6-32077573-32078573
chr6:32093595-32094595	1	1000	chr6-32093595-32094595
chr6:32099446-32100446	1	1000	chr6-32099446-32100446
chr6:32100577-32101577	1	1000	chr6-32100577-32101577
chr6:32130209-32131209	1	1000	chr6-32130209-32131209
chr6:32134786-32135786	1	1000	chr6-32134786-32135786
chr6:32140998-32141998	1	1000	chr6-32140998-32141998
chr6:32151451-32152451	1	1000	chr6-32151451-32152451
chr6:32155084-32156084	1	1000	chr6-32155084-32156084
chr6:32158933-32159951	2	1018	chr6-32158933-32159951
chr6:32205047-32206047	1	1000	chr6-32205047-32206047
chr6:32207128-32208128	1	1000	chr6-32207128-32208128
chr6:32213966-32214984	2	1018	chr6-32213966-32214984
chr6:32225026-32226026	1	1000	chr6-32225026-32226026
chr6:32227570-32229400	2	1830	chr6-32227570-32229400
chr6:32230537-32231537	1	1000	chr6-32230537-32231537
chr6:32231808-32233224	3	1416	chr6-32231808-32233224
chr6:32233482-32234482	1	1000	chr6-32233482-32234482
chr6:32234839-32236994	4	2155	chr6-32234839-32236994
chr6:32241925-32243010	3	1085	chr6-32241925-32243010
chr6:32244185-32245185	1	1000	chr6-32244185-32245185
chr6:32251108-32252108	1	1000	chr6-32251108-32252108
chr6:32253519-32254519	1	1000	chr6-32253519-32254519
chr6:32267029-32268029	1	1000	chr6-32267029-32268029
chr6:32275814-32276814	1	1000	chr6-32275814-32276814
chr6:32279938-32280939	2	1001	chr6-32279938-32280939
chr6:32285982-32286982	1	1000	chr6-32285982-32286982
chr6:32294834-32295852	3	1018	chr6-32294834-32295852
chr6:32301458-32302462	3	1004	chr6-32301458-32302462
chr6:32308097-32309457	2	1360	chr6-32308097-32309457
chr6:32310244-32311261	2	1017	chr6-32310244-32311261
chr6:32330135-32331135	1	1000	chr6-32330135-32331135
chr6:32358410-32359410	1	1000	chr6-32358410-32359410
chr6:32361788-32362788	1	1000	chr6-32361788-32362788
chr6:32366261-32367743	4	1482	chr6-32366261-32367743
chr6:32369905-32370907	2	1002	chr6-32369905-32370907
chr6:32373740-32374740	1	1000	chr6-32373740-32374740
chr6:32385595-32386597	2	1002	chr6-32385595-32386597
chr6:32392003-32393003	1	1000	chr6-32392003-32393003
chr6:32400707-32401707	1	1000	chr6-32400707-32401707
chr6:32422123-32423859	8	1736	chr6-32422123-32423859
chr6:32429297-32430297	1	1000	chr6-32429297-32430297
chr6:32435120-32436120	1	1000	chr6-32435120-32436120
chr6:32437770-32439570	2	1800	chr6-32437770-32439570
chr6:32445923-32447444	2	1521	chr6-32445923-32447444
chr6:32448627-32450177	3	1550	chr6-32448627-32450177
chr6:32452522-32453522	1	1000	chr6-32452522-32453522
chr6:32455332-32456332	1	1000	chr6-32455332-32456332
chr6:32461526-32462526	1	1000	chr6-32461526-32462526
chr6:32474677-32475677	1	1000	chr6-32474677-32475677
chr6:32479505-32480508	2	1003	chr6-32479505-32480508
chr6:32504722-32505722	1	1000	chr6-32504722-32505722
chr6:32518341-32520143	3	1802	chr6-32518341-32520143
chr6:32521224-32522656	16	1432	chr6-32521224-32522656
chr6:32523176-32525102	2	1926	chr6-32523176-32525102
chr6:32530181-32531603	2	1422	chr6-32530181-32531603
chr6:32533901-32534901	1	1000	chr6-32533901-32534901
chr6:32535990-32536990	1	1000	chr6-32535990-32536990
chr6:32553826-32554826	1	1000	chr6-32553826-32554826
chr6:32556835-32558338	5	1503	chr6-32556835-32558338
chr6:32567664-32568664	1	1000	chr6-32567664-32568664
chr6:32568679-32570592	2	1913	chr6-32568679-32570592
chr6:32576740-32577753	2	1013	chr6-32576740-32577753
chr6:32577924-32578924	1	1000	chr6-32577924-32578924
chr6:32580575-32581575	1	1000	chr6-32580575-32581575
chr6:32582699-32584853	10	2154	chr6-32582699-32584853
chr6:32588930-32589930	1	1000	chr6-32588930-32589930
chr6:32594495-32596003	3	1508	chr6-32594495-32596003
chr6:32600088-32602158	5	2070	chr6-32600088-32602158
chr6:32606844-32607892	2	1048	chr6-32606844-32607892
chr6:32610987-32611987	1	1000	chr6-32610987-32611987
chr6:32616844-32617844	1	1000	chr6-32616844-32617844
chr6:32619196-32620196	1	1000	chr6-32619196-32620196
chr6:32627011-32628011	1	1000	chr6-32627011-32628011
chr6:32631232-32632233	2	1001	chr6-32631232-32632233
chr6:32638199-32639199	1	1000	chr6-32638199-32639199
chr6:32640054-32641312	2	1258	chr6-32640054-32641312
chr6:32645358-32646376	2	1018	chr6-32645358-32646376
chr6:32650344-32652088	2	1744	chr6-32650344-32652088
chr6:32654532-32655532	1	1000	chr6-32654532-32655532
chr6:32658588-32659604	2	1016	chr6-32658588-32659604
chr6:32685332-32686333	2	1001	chr6-32685332-32686333
chr6:32699410-32700410	1	1000	chr6-32699410-32700410
chr6:32701879-32702879	1	1000	chr6-32701879-32702879
chr6:32703769-32704770	2	1001	chr6-32703769-32704770
chr6:32709319-32710342	3	1023	chr6-32709319-32710342
chr6:32714988-32715988	1	1000	chr6-32714988-32715988
chr6:32719158-32720171	2	1013	chr6-32719158-32720171
chr6:32720595-32721599	3	1004	chr6-32720595-32721599
chr6:32737256-32738256	1	1000	chr6-32737256-32738256
chr6:32748845-32749845	1	1000	chr6-32748845-32749845
chr6:32809638-32810638	1	1000	chr6-32809638-32810638
chr6:32822417-32823417	1	1000	chr6-32822417-32823417
chr6:32824626-32825626	1	1000	chr6-32824626-32825626
chr6:32851424-32852424	1	1000	chr6-32851424-32852424
chr6:32856698-32857698	1	1000	chr6-32856698-32857698
chr6:32862234-32863234	1	1000	chr6-32862234-32863234
chr6:32872816-32873819	2	1003	chr6-32872816-32873819
chr6:32875335-32876339	4	1004	chr6-32875335-32876339
chr6:32877890-32878890	1	1000	chr6-32877890-32878890
chr6:32880992-32881992	1	1000	chr6-32880992-32881992
chr6:32884483-32885483	1	1000	chr6-32884483-32885483
chr6:32885706-32886710	2	1004	chr6-32885706-32886710
chr6:32888912-32889912	1	1000	chr6-32888912-32889912
chr6:32900383-32901383	1	1000	chr6-32900383-32901383
chr6:32908027-32909027	1	1000	chr6-32908027-32909027
chr6:32915090-32916090	1	1000	chr6-32915090-32916090
chr6:32943407-32944407	1	1000	chr6-32943407-32944407
chr6:32974783-32975807	2	1024	chr6-32974783-32975807
chr6:32986765-32987765	1	1000	chr6-32986765-32987765
chr6:32988369-32989369	1	1000	chr6-32988369-32989369
chr6:32991974-32992974	1	1000	chr6-32991974-32992974
chr6:32993448-32994448	1	1000	chr6-32993448-32994448
chr6:32994659-32996344	2	1685	chr6-32994659-32996344
chr6:32996912-32997912	1	1000	chr6-32996912-32997912
chr6:32998541-32999573	2	1032	chr6-32998541-32999573
chr6:33023067-33024067	1	1000	chr6-33023067-33024067
chr6:33027059-33028082	3	1023	chr6-33027059-33028082
chr6:33041440-33042490	3	1050	chr6-33041440-33042490
chr6:33084349-33085349	1	1000	chr6-33084349-33085349
chr6:33096094-33097103	2	1009	chr6-33096094-33097103
chr6:33102688-33103688	1	1000	chr6-33102688-33103688
